Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,1130.000000,1140.000000,1105.000000,1125.000000,1121.517090,76173100
2020-12-04,1125.000000,1125.000000,1105.000000,1120.000000,1116.532593,36577900
2020-12-07,1125.000000,1220.000000,1115.000000,1220.000000,1216.223022,162697600
2020-12-08,1230.000000,1230.000000,1185.000000,1215.000000,1211.238403,80568200
2020-12-10,1210.000000,1235.000000,1195.000000,1195.000000,1191.300415,79283900
2020-12-11,1195.000000,1250.000000,1195.000000,1230.000000,1226.192017,83244800
2020-12-14,1230.000000,1260.000000,1225.000000,1245.000000,1241.145630,65402000
2020-12-15,1240.000000,1250.000000,1205.000000,1250.000000,1246.130127,61583600
2020-12-16,1255.000000,1295.000000,1250.000000,1260.000000,1256.099121,64963200
2020-12-17,1270.000000,1280.000000,1230.000000,1260.000000,1256.099121,37541300
2020-12-18,1260.000000,1270.000000,1230.000000,1250.000000,1246.130127,183917800
2020-12-21,1250.000000,1285.000000,1250.000000,1270.000000,1266.068115,45842800
2020-12-22,1270.000000,1275.000000,1210.000000,1210.000000,1206.253906,52283200
2020-12-23,1200.000000,1225.000000,1130.000000,1225.000000,1221.207520,52462700
2020-12-28,1250.000000,1250.000000,1195.000000,1210.000000,1206.253906,42198100
2020-12-29,1210.000000,1230.000000,1140.000000,1140.000000,1136.470703,85851400
2020-12-30,1140.000000,1155.000000,1065.000000,1100.000000,1096.594482,85127300
2021-01-04,1100.000000,1135.000000,1055.000000,1110.000000,1106.563477,47908300
2021-01-05,1105.000000,1160.000000,1090.000000,1160.000000,1156.408691,62676100
2021-01-06,1165.000000,1175.000000,1090.000000,1140.000000,1136.470703,38649100
2021-01-07,1175.000000,1185.000000,1125.000000,1130.000000,1126.501587,53894800
2021-01-08,1150.000000,1180.000000,1130.000000,1170.000000,1166.377808,74542700
2021-01-11,1180.000000,1195.000000,1155.000000,1180.000000,1176.346802,61249300
2021-01-12,1185.000000,1190.000000,1165.000000,1180.000000,1176.346802,35616000
2021-01-13,1175.000000,1195.000000,1160.000000,1175.000000,1171.362305,36354300
2021-01-14,1175.000000,1180.000000,1140.000000,1160.000000,1156.408691,41904000
2021-01-15,1160.000000,1170.000000,1120.000000,1145.000000,1141.455200,30958500
2021-01-18,1140.000000,1170.000000,1065.000000,1075.000000,1071.671875,58322400
2021-01-19,1075.000000,1105.000000,1000.000000,1000.000000,996.904053,53432500
2021-01-20,1000.000000,1095.000000,950.000000,1060.000000,1056.718262,66635400
2021-01-21,1080.000000,1100.000000,1040.000000,1070.000000,1066.687378,31780500
2021-01-22,1075.000000,1085.000000,1005.000000,1020.000000,1016.842163,25582600
2021-01-25,1020.000000,1020.000000,965.000000,985.000000,981.950500,26686600
2021-01-26,985.000000,1075.000000,940.000000,1060.000000,1056.718262,92580000
2021-01-27,1060.000000,1060.000000,990.000000,995.000000,991.919556,51660900
2021-01-28,980.000000,1000.000000,930.000000,930.000000,927.120789,45782900
2021-01-29,960.000000,965.000000,870.000000,885.000000,882.260132,66298500
2021-02-01,885.000000,1000.000000,850.000000,990.000000,986.935059,65731000
2021-02-02,995.000000,1170.000000,965.000000,1145.000000,1141.455200,216929200
2021-02-03,1150.000000,1165.000000,1065.000000,1115.000000,1111.548096,118890000
2021-02-04,1120.000000,1190.000000,1095.000000,1115.000000,1111.548096,148474700
2021-02-05,1115.000000,1185.000000,1100.000000,1165.000000,1161.393188,128861300
2021-02-08,1175.000000,1195.000000,1155.000000,1190.000000,1186.315796,83652400
2021-02-09,1190.000000,1225.000000,1120.000000,1145.000000,1141.455200,94764600
2021-02-10,1165.000000,1180.000000,1130.000000,1155.000000,1151.424194,49424900
2021-02-11,1155.000000,1190.000000,1110.000000,1170.000000,1166.377808,60311600
2021-02-15,1185.000000,1205.000000,1160.000000,1185.000000,1181.331299,58420800
2021-02-16,1195.000000,1195.000000,1160.000000,1160.000000,1156.408691,27375000
2021-02-17,1160.000000,1175.000000,1080.000000,1090.000000,1086.625488,60633700
2021-02-18,1090.000000,1105.000000,1055.000000,1055.000000,1051.733765,39228000
2021-02-19,1055.000000,1065.000000,1020.000000,1045.000000,1041.764771,36691500
2021-02-22,1060.000000,1065.000000,1020.000000,1020.000000,1016.842163,46131100
2021-02-23,1020.000000,1090.000000,1020.000000,1080.000000,1076.656372,79411700
2021-02-24,1080.000000,1085.000000,1025.000000,1035.000000,1031.795776,49616100
2021-02-25,1040.000000,1065.000000,1035.000000,1055.000000,1051.733765,32869300
2021-02-26,1055.000000,1100.000000,1020.000000,1100.000000,1096.594482,64858900
2021-03-01,1085.000000,1105.000000,1060.000000,1065.000000,1061.702881,52173400
2021-03-02,1070.000000,1105.000000,1050.000000,1090.000000,1086.625488,59825300
2021-03-03,1100.000000,1120.000000,1045.000000,1065.000000,1061.702881,57988300
2021-03-04,1070.000000,1095.000000,1025.000000,1025.000000,1021.826660,55187200
