Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,10200.000000,10225.000000,10025.000000,10025.000000,9772.169922,15979900
2020-12-04,10025.000000,10025.000000,9950.000000,9950.000000,9699.061523,16025500
2020-12-07,9975.000000,10025.000000,9950.000000,9950.000000,9699.061523,14777600
2020-12-08,9950.000000,9975.000000,9750.000000,9800.000000,9552.844727,37259300
2020-12-10,9875.000000,9950.000000,9725.000000,9950.000000,9699.061523,27446400
2020-12-11,9950.000000,9975.000000,9800.000000,9825.000000,9577.213867,15130000
2020-12-14,9825.000000,9875.000000,9800.000000,9825.000000,9577.213867,7997300
2020-12-15,9825.000000,9850.000000,9700.000000,9700.000000,9455.367188,17300900
2020-12-16,9725.000000,9800.000000,9700.000000,9775.000000,9528.475586,16458300
2020-12-17,9800.000000,9850.000000,9725.000000,9725.000000,9479.736328,12290800
2020-12-18,9750.000000,9775.000000,9675.000000,9700.000000,9455.367188,15122100
2020-12-21,9700.000000,9825.000000,9650.000000,9775.000000,9528.475586,10927500
2020-12-22,9825.000000,9825.000000,9600.000000,9600.000000,9357.888672,15824100
2020-12-23,9600.000000,9675.000000,9450.000000,9525.000000,9284.780273,11933300
2020-12-28,9525.000000,9550.000000,9450.000000,9475.000000,9236.041016,10841700
2020-12-29,9500.000000,9575.000000,9275.000000,9300.000000,9065.455078,18237100
2020-12-30,9300.000000,9575.000000,9300.000000,9575.000000,9333.519531,16093100
2021-01-04,9600.000000,9600.000000,9400.000000,9575.000000,9333.519531,6040400
2021-01-05,9525.000000,9575.000000,9450.000000,9450.000000,9211.671875,10086200
2021-01-06,9450.000000,9550.000000,9375.000000,9425.000000,9187.302734,10369600
2021-01-07,9425.000000,9600.000000,9400.000000,9500.000000,9260.411133,8826900
2021-01-08,9550.000000,9575.000000,9450.000000,9525.000000,9284.780273,11195000
2021-01-11,9525.000000,9600.000000,9500.000000,9525.000000,9284.780273,5309300
2021-01-12,9525.000000,9550.000000,9425.000000,9425.000000,9187.302734,6644300
2021-01-13,9425.000000,9450.000000,9325.000000,9325.000000,9089.824219,11366200
2021-01-14,9350.000000,9475.000000,9325.000000,9350.000000,9114.193359,6211400
2021-01-15,9350.000000,9425.000000,9325.000000,9375.000000,9138.563477,6773600
2021-01-18,9375.000000,9650.000000,9375.000000,9625.000000,9382.257813,15779400
2021-01-19,9700.000000,9900.000000,9625.000000,9750.000000,9504.105469,34368300
2021-01-20,9750.000000,9825.000000,9600.000000,9675.000000,9430.997070,14452800
2021-01-21,9700.000000,9750.000000,9575.000000,9575.000000,9333.519531,7065100
2021-01-22,9575.000000,9600.000000,9400.000000,9475.000000,9236.041016,5631500
2021-01-25,9450.000000,9575.000000,9325.000000,9500.000000,9260.411133,8009500
2021-01-26,9575.000000,9700.000000,9400.000000,9500.000000,9260.411133,13587300
2021-01-27,9500.000000,9650.000000,9400.000000,9500.000000,9260.411133,9466000
2021-01-28,9500.000000,9500.000000,9350.000000,9350.000000,9114.193359,8804700
2021-01-29,9350.000000,9400.000000,9000.000000,9100.000000,8870.499023,14066800
2021-02-01,9000.000000,9300.000000,9000.000000,9225.000000,8992.346680,6846000
2021-02-02,9250.000000,9575.000000,9225.000000,9500.000000,9260.411133,12534000
2021-02-03,9525.000000,9550.000000,9400.000000,9425.000000,9187.302734,8510200
2021-02-04,9425.000000,9475.000000,9225.000000,9325.000000,9089.824219,6585300
2021-02-05,9325.000000,9350.000000,9175.000000,9225.000000,8992.346680,7215800
2021-02-08,9225.000000,9275.000000,9100.000000,9100.000000,8870.499023,11335300
2021-02-09,9150.000000,9200.000000,8800.000000,8800.000000,8578.064453,35900200
2021-02-10,8850.000000,9075.000000,8850.000000,9000.000000,8773.020508,19472200
2021-02-11,9000.000000,9050.000000,8950.000000,8975.000000,8748.651367,4249400
2021-02-15,9000.000000,9025.000000,8950.000000,8975.000000,8748.651367,4050100
2021-02-16,9000.000000,9025.000000,8800.000000,8825.000000,8602.434570,14656600
2021-02-17,8825.000000,8900.000000,8800.000000,8825.000000,8602.434570,5044600
2021-02-18,8900.000000,8925.000000,8750.000000,8750.000000,8529.326172,10242500
2021-02-19,8750.000000,8800.000000,8550.000000,8600.000000,8383.108398,16657400
2021-02-22,8725.000000,8750.000000,8625.000000,8625.000000,8407.478516,6220800
2021-02-23,8625.000000,8625.000000,8550.000000,8550.000000,8334.370117,11933200
2021-02-24,8550.000000,8725.000000,8500.000000,8650.000000,8431.847656,17672400
2021-02-25,8700.000000,8750.000000,8575.000000,8575.000000,8358.739258,7989700
2021-02-26,8550.000000,8650.000000,8500.000000,8575.000000,8358.739258,11519000
2021-03-01,8600.000000,8650.000000,8575.000000,8600.000000,8383.108398,4982200
2021-03-02,8600.000000,8900.000000,8600.000000,8700.000000,8480.586914,13965700
2021-03-03,8700.000000,8750.000000,8650.000000,8725.000000,8504.956055,9225100
2021-03-04,8775.000000,8775.000000,8600.000000,8600.000000,8383.108398,7279700
2021-03-05,8600.000000,8600.000000,8500.000000,8500.000000,8285.630859,12683100
2021-03-08,8500.000000,8550.000000,8325.000000,8375.000000,8163.783203,12971400
2021-03-09,8375.000000,8425.000000,8300.000000,8325.000000,8115.043945,8629600
2021-03-10,8325.000000,8500.000000,8325.000000,8375.000000,8163.783203,7208800
2021-03-12,8400.000000,8475.000000,8375.000000,8375.000000,8163.783203,6857000
2021-03-15,8475.000000,8675.000000,8450.000000,8500.000000,8285.630859,9366100
2021-03-16,8575.000000,8625.000000,8525.000000,8600.000000,8383.108398,4733700
2021-03-17,8650.000000,8650.000000,8550.000000,8625.000000,8407.478516,6268400
2021-03-18,8675.000000,8725.000000,8650.000000,8700.000000,8480.586914,8262600
2021-03-19,8700.000000,8875.000000,8625.000000,8825.000000,8602.434570,15236900
2021-03-22,8850.000000,8900.000000,8800.000000,8825.000000,8602.434570,7289500
2021-03-23,9100.000000,9275.000000,9100.000000,9200.000000,8967.976563,30860800
2021-03-24,9200.000000,9275.000000,9050.000000,9250.000000,9016.715820,12586500
2021-03-25,9200.000000,9225.000000,8875.000000,8950.000000,8724.282227,11930600
2021-03-26,9050.000000,9100.000000,8975.000000,9100.000000,8870.499023,7860900
2021-03-29,9100.000000,9225.000000,9050.000000,9225.000000,8992.346680,5927500
2021-03-30,9200.000000,9225.000000,9025.000000,9075.000000,8846.128906,6974500
2021-03-31,9075.000000,9200.000000,8800.000000,9200.000000,8967.976563,11218500
2021-04-01,9075.000000,9150.000000,8925.000000,8950.000000,8724.282227,8292600
2021-04-05,9000.000000,9050.000000,8925.000000,8925.000000,8699.912109,1842800
2021-04-06,8925.000000,8950.000000,8800.000000,8825.000000,8602.434570,4493200
2021-04-07,8850.000000,8975.000000,8850.000000,8900.000000,8675.542969,3186900
2021-04-08,8900.000000,8950.000000,8800.000000,8800.000000,8578.064453,7579300
2021-04-09,8800.000000,8900.000000,8800.000000,8875.000000,8651.172852,2731400
2021-04-12,8900.000000,8925.000000,8650.000000,8650.000000,8431.847656,5958000
2021-04-13,8650.000000,8725.000000,8550.000000,8625.000000,8407.478516,2735700
2021-04-14,8700.000000,8750.000000,8675.000000,8750.000000,8529.326172,2798800
2021-04-15,8750.000000,8775.000000,8675.000000,8750.000000,8529.326172,2319600
2021-04-16,8750.000000,8950.000000,8750.000000,8950.000000,8724.282227,4801000
2021-04-19,8975.000000,9000.000000,8900.000000,8950.000000,8724.282227,4496300
2021-04-20,9000.000000,9000.000000,8850.000000,8900.000000,8675.542969,2117200
2021-04-21,8850.000000,8900.000000,8800.000000,8800.000000,8578.064453,2711600
2021-04-22,8825.000000,8875.000000,8750.000000,8750.000000,8529.326172,1843600
2021-04-23,8800.000000,8925.000000,8750.000000,8875.000000,8651.172852,3492000
2021-04-26,8875.000000,8900.000000,8700.000000,8700.000000,8480.586914,4114300
2021-04-27,8700.000000,8725.000000,8550.000000,8600.000000,8383.108398,7502700
2021-04-28,8600.000000,8675.000000,8500.000000,8575.000000,8358.739258,5144400
2021-04-29,8600.000000,8675.000000,8575.000000,8625.000000,8407.478516,2352400
2021-04-30,8650.000000,8700.000000,8575.000000,8700.000000,8480.586914,3825600
2021-05-03,8700.000000,8700.000000,8550.000000,8550.000000,8334.370117,3563800
2021-05-04,8550.000000,8575.000000,8450.000000,8525.000000,8310.000000,6310100
2021-05-05,8525.000000,8600.000000,8500.000000,8525.000000,8310.000000,2506600
2021-05-06,8550.000000,8600.000000,8400.000000,8500.000000,8285.630859,6187000
2021-05-07,8500.000000,8525.000000,8425.000000,8450.000000,8236.891602,2904100
2021-05-10,8450.000000,8600.000000,8425.000000,8600.000000,8383.108398,3839900
2021-05-11,8600.000000,8600.000000,8500.000000,8525.000000,8310.000000,2161700
2021-05-17,8550.000000,8575.000000,8200.000000,8250.000000,8041.935547,9477500
2021-05-18,8250.000000,8400.000000,8250.000000,8300.000000,8090.674805,3770500
2021-05-19,8300.000000,8350.000000,8250.000000,8275.000000,8066.305176,4186400
2021-05-20,8300.000000,8450.000000,8275.000000,8375.000000,8163.783203,4715400
2021-05-21,8400.000000,8425.000000,8300.000000,8325.000000,8115.043945,2032000
2021-05-24,8350.000000,8350.000000,8200.000000,8200.000000,7993.196777,3906400
2021-05-25,8200.000000,8225.000000,8100.000000,8175.000000,7968.827148,8978000
2021-05-27,8200.000000,8275.000000,8150.000000,8275.000000,8066.305176,11260600
2021-05-28,8275.000000,8300.000000,8050.000000,8125.000000,7920.088379,7763900
2021-05-31,8150.000000,8225.000000,8075.000000,8200.000000,7993.196777,4574100
2021-06-02,8250.000000,8375.000000,8200.000000,8225.000000,8017.566406,5611200
2021-06-03,8250.000000,8700.000000,8250.000000,8700.000000,8480.586914,10251900
2021-06-04,8675.000000,8675.000000,8425.000000,8450.000000,8236.891602,9862700
2021-06-07,8500.000000,8525.000000,8325.000000,8350.000000,8139.413574,3596700
2021-06-08,8350.000000,8375.000000,8125.000000,8175.000000,7968.827148,8321100
2021-06-09,8175.000000,8250.000000,8125.000000,8150.000000,7944.457520,4260000
2021-06-10,8175.000000,8225.000000,8150.000000,8150.000000,7944.457520,2264700
2021-06-11,8175.000000,8225.000000,8150.000000,8175.000000,7968.827148,2528900
2021-06-14,8175.000000,8250.000000,8150.000000,8150.000000,7944.457520,2865900
2021-06-15,8175.000000,8200.000000,8125.000000,8150.000000,7944.457520,4067700
